104.223.135.178,10000
47.243.105.131,4780
20.205.61.143,8123
169.55.89.6,80
20.111.54.16,80
95.56.254.139,3128
20.24.43.214,8123
117.251.103.186,8080
46.225.237.146,3128
135.181.14.45,5959
51.79.50.31,9300
20.210.113.32,80
169.55.89.6,8123
20.24.43.214,80
34.84.72.91,3128
145.40.121.159,3128
145.40.121.89,3128
89.43.31.134,3128
51.158.154.173,3128
198.27.74.6,9300
51.158.154.173,3128
64.225.8.132,9999
20.111.54.16,8123
34.146.64.228,3128
158.69.71.245,9300
20.205.61.143,80
159.203.84.241,3128
116.0.61.122,3128
138.185.46.22,3128
20.206.106.192,8123
161.35.39.82,3128
89.232.123.2,3128
